Module Code,MC,Module Name,Year,Semester
MA3131,4,Y3S1 Math,3,1
MA3231,2,Y3S1 MO,3,1
MA3231V,2,Y3S1 MO V,3,1
MA3132,4,Y3S2 Math,3,2
CS3231,3,OOP I,3,1
CS3232,2,IOT I,3,1
CS3233,3,OOP II,3,2
CS3234,2,IOT II,3,2
BL3231,2,Y3S1 BO,3,1
BL3232,2,Y3S2 BO,3,2
BL3131,6,Y3 Bio,3,0
CM3231,2,Y3S1 Chem O,3,1
CM3232,2,Y3S2 Chem O,3,2
CM3131,6,Y3 Chem,3,0
PC3131,6,Y3 Physics,3,0
PC3231,2,Y3S1 PO,3,1
PC3232,2,Y3S2 PO,3,2
EL3131,6,Y3 English,3,0
EL3231,2,Y3 Creative Writing Module,3,1
EN3131,6,Y3 Lit,3,0
CH3531,8,Y3 Higher Chinese,3,0
CL3531,6,Y3 Normal Chinese,3,0
MH3531,8,Y3 Higher Malay,3,0
ML3531,6,Y3 Normal Malay,3,0
TH3531,8,Y3 Higher Tamil,3,0
TL3531,6,Y3 Normal Tamil,3,0
CL3231,3,Y3S1 3rd Lang Chinese,3,1
CL3232,3,Y3S2 3rd Lang Chinese,3,2
FR3231,3,Y3S1 3rd Lang French,3,1
FR3232,3,Y3S2 3rd Lang French,3,2
JP3231,3,Y3S1 3rd Lang Japanese,3,1
JP3232,3,Y3S2 3rd Lang Japanese,3,2
ML3231,3,Y3S1 3rd Lang Malay,3,1
ML3232,3,Y3S2 3rd Lang Malay,3,2
GE3131,3,Y3S1 Geography,3,1
GE3132,3,Y3S2 Geography,3,2
HY3131,3,Y3S1 History,3,1
HY3132,3,Y3S2 History,3,2
MU3131,3,Y3S1 Music,3,1
MU3132,3,Y3S2 Music,3,2
AR3131,3,Y3S1 Art,3,1
AR3132,3,Y3S2 Art,3,2
