Module Code,MC,Module Name,Year,Semester
MA1231,2,Y1S1 MO,1,1
MA1132,3,Y1S2 Math,1,2
MA1232,2,Y1S2 MO,1,2
MA1232V,2,Y1S2 MO V,1,2
CS1131,2,Y1 CS,1,2
BL1131,4,Y1 Bio,1,0
CM1131,4,Y1 Chem,1,0
PC1131,4,Y1 Physics,1,0
EL1131,8,Y1 English,1,0
CH1531,6,Y1 Higher Chinese,1,0
CL1531,6,Y1 Normal Chinese,1,0
MH1531,6,Y1 Higher Malay,1,0
ML1531,6,Y1 Normal Malay,1,0
TH1531,6,Y1 Higher Tamil,1,0
TL1531,6,Y1 Normal Tamil,1,0
CL1231,3,Y1S1 3rd Lang Chinese,1,1
CL1232,3,Y1S2 3rd Lang Chinese,1,2
CL1233,2,The Culture behind Chinese Philology,1,1
CL1234,2,The Math and Science Achievements of Ancient China,1,1
CL1235,2,Learning Math and Science in Chinese,1,2
FR1231,3,Y1S1 3rd Lang French,1,1
FR1232,3,Y1S2 3rd Lang French,1,2
JP1231,3,Y1S1 3rd Lang Japanese,1,1
JP1232,3,Y1S2 3rd Lang Japanese,1,2
ML1231,3,Y1S1 3rd Lang Malay,1,1
ML1232,3,Y1S2 3rd Lang Malay,1,2
HU1131,4,Y1 Integrated Humanities,1,0
MU1131,2,Y1S1 Music,1,1
MU1131,2,Y1S2 Music,1,2
AR1131,2,Y1S1 Art,1,1
AR1131,2,Y1S2 Art,1,2
